72 	 # Number of sensors 
# x z 
0.00 0.00 
2.89 0.79 
5.83 1.39 
8.82 1.72 
11.80 1.44 
14.77 1.87 
17.76 2.10 
20.74 2.45 
23.71 2.90 
26.67 3.37 
29.66 3.57 
32.66 3.70 
35.66 3.88 
38.66 3.97 
41.65 4.11 
44.65 4.25 
47.64 4.03 
50.64 4.07 
53.64 4.11 
56.63 4.38 
59.62 4.59 
62.58 5.09 
65.40 6.10 
68.15 7.30 
71.02 8.19 
73.87 9.12 
76.73 10.04 
79.54 11.08 
82.43 11.87 
84.81 13.70 
87.71 14.47 
90.60 15.27 
93.33 16.51 
96.13 17.58 
98.95 18.62 
101.79 19.58 
104.59 20.67 
107.40 21.71 
110.20 22.79 
113.03 23.79 
115.88 24.72 
118.67 25.83 
121.47 26.91 
124.23 28.07 
126.99 29.25 
129.69 30.56 
132.37 31.91 
135.14 33.07 
138.07 33.72 
140.80 34.96 
143.59 36.05 
146.36 37.21 
149.11 38.41 
151.88 39.56 
154.68 40.64 
157.50 41.66 
160.37 42.53 
163.26 43.34 
164.68 45.98 
167.60 46.68 
170.51 47.38 
173.47 47.90 
176.44 48.32 
179.42 48.65 
182.40 49.02 
185.39 49.29 
188.38 49.50 
191.38 49.63 
194.37 49.78 
197.34 50.21 
200.33 50.46 
203.31 50.80 
636 	 # Number of measurements 
# a b m n u i err
15 36 22 29 1295.035 4.702  0.01
15 33 21 27 1485.277 3.856  0.01
15 30 20 25 1825.889 2.983  0.01
15 27 19 23 3120.702 2.944  0.01
15 24 18 21 3025.350 2.009  0.01
15 21 17 19 3044.706 1.079  0.01
15 18 16 17 3022.371 0.534  0.01
16 46 26 36 641.942 4.250  0.01
16 43 25 34 687.915 4.137  0.01
16 40 24 32 798.500 3.889  0.01
16 37 23 30 1059.086 4.371  0.01
16 34 22 28 1419.617 3.994  0.01
16 31 21 26 1984.816 3.451  0.01
16 28 20 24 3038.298 3.095  0.01
16 25 19 22 3038.876 1.917  0.01
16 22 18 20 2989.978 1.063  0.01
16 19 17 18 3003.514 0.501  0.01
17 47 27 37 725.169 4.439  0.01
17 44 26 35 852.110 5.018  0.01
17 41 25 33 921.051 4.535  0.01
17 38 24 31 1218.655 4.969  0.01
17 35 23 29 1498.902 4.840  0.01
17 32 22 27 1940.356 3.990  0.01
17 29 21 25 3027.105 3.502  0.01
17 26 20 23 3022.486 1.926  0.01
17 23 19 21 2999.823 1.202  0.01
17 20 18 19 3008.734 0.529  0.01
18 48 28 38 1055.109 6.183  0.01
18 45 27 36 894.605 4.835  0.01
18 42 26 34 981.311 4.754  0.01
18 39 25 32 1350.936 5.131  0.01
18 36 24 30 1800.715 5.840  0.01
18 33 23 28 1873.122 4.592  0.01
18 30 22 26 2598.094 3.405  0.01
18 27 21 24 3028.030 2.035  0.01
18 24 20 22 3053.989 1.249  0.01
18 21 19 20 3099.972 0.512  0.01
19 46 28 37 993.467 4.996  0.01
19 43 27 35 1062.192 4.840  0.01
19 40 26 33 1203.743 4.512  0.01
19 37 25 31 1672.030 5.159  0.01
19 34 24 29 1904.790 4.649  0.01
19 31 23 27 2315.805 3.929  0.01
19 28 22 25 3003.921 2.418  0.01
19 25 21 23 3006.801 1.125  0.01
19 22 20 21 3007.427 0.553  0.01
20 47 29 38 878.333 4.110  0.01
20 44 28 36 1093.409 4.625  0.01
20 41 27 34 1184.297 4.215  0.01
20 38 26 32 1610.002 4.582  0.01
20 35 25 30 1901.525 4.481  0.01
20 32 24 28 2163.640 3.743  0.01
20 29 23 26 3022.089 3.203  0.01
20 26 22 24 3046.430 1.326  0.01
20 23 21 22 2978.636 0.628  0.01
21 48 30 39 1126.934 4.962  0.01
21 45 29 37 1014.581 4.063  0.01
21 42 28 35 1167.703 4.005  0.01
21 39 27 33 1611.303 4.268  0.01
21 36 26 31 2075.524 4.743  0.01
21 33 25 29 2327.590 3.891  0.01
21 30 24 27 2628.818 3.007  0.01
21 27 23 25 3002.500 1.793  0.01
21 24 22 23 2982.323 0.553  0.01
22 46 30 38 1061.677 3.870  0.01
22 43 29 36 1164.696 3.780  0.01
22 40 28 34 1395.791 3.576  0.01
22 37 27 32 2013.811 3.966  0.01
22 34 26 30 2157.050 3.662  0.01
22 31 25 28 2928.364 3.203  0.01
22 28 24 26 3000.357 1.888  0.01
22 25 23 24 3002.837 0.757  0.01
23 47 31 39 730.789 2.429  0.01
23 44 30 37 876.648 2.604  0.01
23 41 29 35 975.544 2.470  0.01
23 38 28 33 1376.222 2.589  0.01
23 35 27 31 1719.589 2.556  0.01
23 32 26 29 2138.358 2.303  0.01
23 29 25 27 2998.212 1.872  0.01
23 26 24 25 3028.904 0.769  0.01
24 48 32 40 2092.432 7.067  0.01
24 45 31 38 1841.434 5.374  0.01
24 42 30 36 2116.408 5.269  0.01
24 39 29 34 2866.735 5.736  0.01
24 36 28 32 3040.043 4.571  0.01
24 33 27 30 3033.510 3.349  0.01
24 30 26 28 2997.871 2.007  0.01
24 27 25 26 3010.619 0.677  0.01
25 46 32 39 1949.870 5.717  0.01
25 43 31 37 2204.779 5.522  0.01
25 40 30 35 2488.386 5.102  0.01
25 37 29 33 3035.176 4.945  0.01
25 34 28 31 3047.568 3.710  0.01
25 31 27 29 3017.349 1.930  0.01
25 28 26 27 3016.322 0.938  0.01
26 47 33 40 1840.856 5.263  0.01
26 44 32 38 2397.656 6.161  0.01
26 41 31 36 2621.287 5.460  0.01
26 38 30 34 3046.731 5.026  0.01
26 35 29 32 3034.063 3.757  0.01
26 32 28 30 3022.899 2.260  0.01
26 29 27 28 3036.845 0.877  0.01
27 48 34 41 2026.838 5.674  0.01
27 45 33 39 1772.954 4.533  0.01
27 42 32 37 2037.831 4.458  0.01
27 39 31 35 2824.837 4.787  0.01
27 36 30 33 3028.138 3.977  0.01
27 33 29 31 3029.031 2.594  0.01
27 30 28 29 2986.186 0.858  0.01
28 46 34 40 2035.183 4.994  0.01
28 43 33 38 2256.064 4.841  0.01
28 40 32 36 2659.685 4.519  0.01
28 37 31 34 3026.844 3.834  0.01
28 34 30 32 3041.553 2.303  0.01
28 31 29 30 3001.085 0.920  0.01
29 47 35 41 2149.100 4.902  0.01
29 44 34 39 2732.727 5.679  0.01
29 41 33 37 2988.239 5.083  0.01
29 38 32 35 3040.059 3.972  0.01
29 35 31 33 3037.732 2.246  0.01
29 32 30 31 3054.021 0.901  0.01
30 48 36 42 1927.443 4.292  0.01
30 45 35 40 1780.478 3.611  0.01
30 42 34 38 2127.788 3.564  0.01
30 39 33 36 3006.238 3.705  0.01
30 36 32 34 3032.938 2.556  0.01
30 33 31 32 2987.966 0.726  0.01
31 46 36 41 2872.171 5.412  0.01
31 43 35 39 3015.047 4.835  0.01
31 40 34 37 3017.285 3.562  0.01
31 37 33 35 3019.491 2.437  0.01
31 34 32 33 3065.544 0.968  0.01
32 47 37 42 2678.234 4.587  0.01
32 44 36 40 3019.284 4.644  0.01
32 41 35 38 3030.462 3.483  0.01
32 38 34 36 3022.594 2.201  0.01
32 35 33 34 2998.930 0.801  0.01
33 48 38 43 3030.703 5.031  0.01
33 45 37 41 3012.409 4.411  0.01
33 42 36 39 3033.170 3.517  0.01
33 39 35 37 3009.557 2.170  0.01
33 36 34 35 3022.880 1.016  0.01
34 46 38 42 3038.304 4.191  0.01
34 43 37 40 3009.897 3.433  0.01
34 40 36 38 3032.999 2.203  0.01
34 37 35 36 2992.890 0.920  0.01
35 47 39 43 3050.069 3.931  0.01
