191 	 # Number of sensors 
# x z 
94 73 0.02180 0.01 
94 75 0.02180 0.01 
94 81 0.02150 0.01 
94 83 0.01837 0.01 
94 85 0.01635 0.01 
94 87 0.01504 0.01 
94 91 0.01262 0.01 
94 93 0.00558 0.01 
94 94 0.00000 0.01 
94 95 0.00589 0.01 
94 97 0.01328 0.01 
94 99 0.01917 0.01 
94 101 0.01902 0.01 
94 103 0.01992 0.01 
94 109 0.02475 0.01 
94 111 0.02445 0.01 
94 123 0.02370 0.01 
94 125 0.02506 0.01 
94 127 0.02566 0.01 
94 129 0.02898 0.01 
100 51 0.04464 0.01 
100 53 0.04145 0.01 
100 57 0.03802 0.01 
100 59 0.03728 0.01 
100 61 0.03577 0.01 
100 63 0.03438 0.01 
100 65 0.03375 0.01 
100 67 0.03212 0.01 
100 69 0.03123 0.01 
100 71 0.02985 0.01 
100 81 0.02683 0.01 
100 85 0.02141 0.01 
100 87 0.02023 0.01 
100 91 0.01992 0.01 
100 93 0.01751 0.01 
100 95 0.01766 0.01 
100 97 0.01234 0.01 
100 99 0.00513 0.01 
100 100 0.00000 0.01 
100 101 0.00513 0.01 
100 103 0.01177 0.01 
100 105 0.01796 0.01 
100 107 0.02445 0.01 
100 109 0.02385 0.01 
100 111 0.02415 0.01 
100 113 0.02430 0.01 
100 119 0.02355 0.01 
100 121 0.02536 0.01 
100 123 0.02370 0.01 
100 125 0.02460 0.01 
100 127 0.02475 0.01 
100 129 0.02747 0.01 
100 131 0.02913 0.01 
100 133 0.02928 0.01 
106 87 0.02370 0.01 
106 91 0.02309 0.01 
106 93 0.02158 0.01 
106 99 0.02445 0.01 
106 101 0.01917 0.01 
106 103 0.01358 0.01 
106 105 0.00483 0.01 
106 106 0.00000 0.01 
106 107 0.00453 0.01 
106 109 0.01223 0.01 
106 111 0.02113 0.01 
106 115 0.02053 0.01 
106 117 0.02204 0.01 
106 119 0.02340 0.01 
106 125 0.02294 0.01 
106 127 0.02400 0.01 
106 129 0.02611 0.01 
112 87 0.02642 0.01 
112 89 0.02536 0.01 
112 91 0.02611 0.01 
112 93 0.02400 0.01 
112 97 0.02370 0.01 
112 101 0.02325 0.01 
112 103 0.02415 0.01 
112 107 0.02038 0.01 
112 109 0.01494 0.01 
112 111 0.00468 0.01 
112 112 0.00000 0.01 
112 113 0.00468 0.01 
112 115 0.01494 0.01 
112 117 0.01691 0.01 
112 119 0.01887 0.01 
112 121 0.01992 0.01 
112 123 0.01932 0.01 
112 125 0.02038 0.01 
112 127 0.02143 0.01 
112 129 0.02355 0.01 
112 131 0.02581 0.01 
112 133 0.02506 0.01 
118 87 0.02506 0.01 
118 89 0.02430 0.01 
118 91 0.02400 0.01 
118 93 0.02294 0.01 
118 95 0.02325 0.01 
118 97 0.02370 0.01 
118 99 0.02385 0.01 
118 103 0.02294 0.01 
118 105 0.02158 0.01 
118 107 0.02158 0.01 
118 109 0.02113 0.01 
118 111 0.01857 0.01 
118 115 0.01343 0.01 
118 117 0.00408 0.01 
118 118 0.00000 0.01 
118 119 0.00483 0.01 
118 121 0.01192 0.01 
118 125 0.01419 0.01 
118 131 0.01932 0.01 
118 133 0.01857 0.01 
124 87 0.02642 0.01 
124 89 0.02536 0.01 
124 91 0.02657 0.01 
124 93 0.02521 0.01 
124 97 0.02566 0.01 
124 99 0.02611 0.01 
124 101 0.02475 0.01 
124 103 0.02415 0.01 
124 105 0.02445 0.01 
124 107 0.02355 0.01 
124 109 0.02309 0.01 
124 111 0.02098 0.01 
124 113 0.01811 0.01 
124 119 0.01857 0.01 
124 121 0.01011 0.01 
124 123 0.00438 0.01 
124 124 0.00000 0.01 
124 125 0.00558 0.01 
124 127 0.01298 0.01 
124 131 0.01509 0.01 
124 133 0.01479 0.01 
