49 	 # Number of sensors 
# x z 
0.00 -0.98 
1.88 -0.69 
3.75 -0.34 
5.82 0.00 
7.72 -0.02 
9.72 -0.10 
11.71 -0.17 
13.78 -0.54 
15.78 -0.47 
17.78 -0.35 
19.77 -0.19 
21.66 -0.34 
23.76 -0.33 
25.74 -0.63 
27.74 -0.71 
29.73 -0.55 
31.56 -1.07 
33.84 -0.75 
35.83 -0.91 
37.93 -0.94 
39.93 -1.01 
41.92 -0.84 
43.82 -0.93 
45.82 -1.05 
47.92 -1.03 
49.97 -1.49 
51.87 -1.49 
53.96 -1.39 
56.36 -1.49 
57.93 -1.19 
59.86 -1.73 
61.96 -1.63 
64.05 -1.84 
66.03 -2.08 
68.13 -2.25 
69.71 -2.45 
71.91 -2.50 
74.20 -2.70 
76.10 -2.67 
78.20 -2.71 
80.29 -2.50 
82.47 -2.79 
84.07 -2.86 
85.77 -2.92 
88.15 -2.57 
90.05 -2.54 
91.92 -2.84 
94.18 -2.39 
96.04 -2.74 
349 	 # Number of measurements 
# a b m n u i err
1 19 7 13 16.20 1.00 0.01
2 20 8 14 16.74 1.00 0.01
3 21 9 15 16.78 1.00 0.01
4 22 10 16 17.51 1.00 0.01
5 23 11 17 16.62 1.00 0.01
6 24 12 18 17.29 1.00 0.01
7 25 13 19 17.28 1.00 0.01
8 26 14 20 18.21 1.00 0.01
9 27 15 21 18.56 1.00 0.01
10 28 16 22 17.65 1.00 0.01
11 29 17 23 18.26 1.00 0.01
12 30 18 24 18.63 1.00 0.01
13 31 19 25 20.31 1.00 0.01
14 32 20 26 20.66 1.00 0.01
16 34 22 28 2.05 0.10 0.01
17 35 23 29 2.24 0.10 0.01
18 36 24 30 2.05 0.10 0.01
19 37 25 31 20.29 1.00 0.01
20 38 26 32 21.23 1.00 0.01
22 40 28 34 25.04 1.00 0.01
23 41 29 35 24.62 1.00 0.01
24 42 30 36 23.65 1.00 0.01
25 43 31 37 27.40 1.00 0.01
26 44 32 38 28.22 1.00 0.01
28 46 34 40 27.93 1.00 0.01
29 47 35 41 26.48 1.00 0.01
30 48 36 42 28.95 1.00 0.01
31 49 37 43 24.85 1.00 0.01
1 22 8 15 15.76 1.00 0.01
2 23 9 16 16.58 1.00 0.01
3 24 10 17 15.40 1.00 0.01
4 25 11 18 15.55 1.00 0.01
5 26 12 19 15.35 1.00 0.01
6 27 13 20 16.64 1.00 0.01
7 28 14 21 14.77 1.00 0.01
8 29 15 22 15.70 1.00 0.01
9 30 16 23 15.56 1.00 0.01
10 31 17 24 17.02 1.00 0.01
11 32 18 25 17.06 1.00 0.01
13 34 20 27 16.54 1.00 0.01
14 35 21 28 17.12 1.00 0.01
15 36 22 29 19.37 1.00 0.01
16 37 23 30 19.06 1.00 0.01
17 38 24 31 17.87 1.00 0.01
18 39 25 32 18.43 1.00 0.01
20 41 27 34 21.91 1.00 0.01
21 42 28 35 21.80 1.00 0.01
22 43 29 36 20.84 1.00 0.01
23 44 30 37 22.29 1.00 0.01
24 45 31 38 23.88 1.00 0.01
25 46 32 39 24.58 1.00 0.01
27 48 34 41 22.93 1.00 0.01
28 49 35 42 23.34 1.00 0.01
1 25 9 17 14.36 1.00 0.01
2 26 10 18 14.94 1.00 0.01
3 27 11 19 14.44 1.00 0.01
4 28 12 20 14.68 1.00 0.01
5 29 13 21 15.03 1.00 0.01
6 30 14 22 14.70 1.00 0.01
7 31 15 23 14.73 1.00 0.01
8 32 16 24 14.67 1.00 0.01
10 34 18 26 14.76 1.00 0.01
11 35 19 27 13.11 1.00 0.01
12 36 20 28 15.49 1.00 0.01
13 37 21 29 15.76 1.00 0.01
14 38 22 30 16.19 1.00 0.01
15 39 23 31 16.52 1.00 0.01
16 40 24 32 16.69 1.00 0.01
17 41 25 33 17.93 1.00 0.01
18 42 26 34 17.82 1.00 0.01
19 43 27 35 19.20 1.00 0.01
20 44 28 36 19.22 1.00 0.01
21 45 29 37 19.46 1.00 0.01
22 46 30 38 20.74 1.00 0.01
23 47 31 39 20.84 1.00 0.01
24 48 32 40 21.54 1.00 0.01
25 49 33 41 19.57 1.00 0.01
1 28 10 19 13.94 1.00 0.01
2 29 11 20 14.35 1.00 0.01
3 30 12 21 13.71 1.00 0.01
4 31 13 22 13.90 1.00 0.01
5 32 14 23 13.76 1.00 0.01
6 33 15 24 13.63 1.00 0.01
7 34 16 25 12.84 1.00 0.01
8 35 17 26 13.41 1.00 0.01
9 36 18 27 13.77 1.00 0.01
10 37 19 28 13.68 1.00 0.01
11 38 20 29 14.27 1.00 0.01
12 39 21 30 14.29 1.00 0.01
13 40 22 31 13.85 1.00 0.01
14 41 23 32 14.73 1.00 0.01
15 42 24 33 15.78 1.00 0.01
16 43 25 34 16.52 1.00 0.01
17 44 26 35 16.21 1.00 0.01
18 45 27 36 16.96 1.00 0.01
19 46 28 37 17.92 1.00 0.01
20 47 29 38 17.79 1.00 0.01
21 48 30 39 17.89 1.00 0.01
22 49 31 40 18.79 1.00 0.01
1 31 11 21 12.31 1.00 0.01
2 32 12 22 13.20 1.00 0.01
3 33 13 23 12.31 1.00 0.01
4 34 14 24 12.34 1.00 0.01
5 35 15 25 12.26 1.00 0.01
6 36 16 26 12.52 1.00 0.01
7 37 17 27 12.42 1.00 0.01
8 38 18 28 12.43 1.00 0.01
9 39 19 29 13.37 1.00 0.01
10 40 20 30 12.65 1.00 0.01
11 41 21 31 12.45 1.00 0.01
12 42 22 32 12.54 1.00 0.01
13 43 23 33 14.38 1.00 0.01
14 44 24 34 14.53 1.00 0.01
15 45 25 35 15.06 1.00 0.01
16 46 26 36 15.36 1.00 0.01
17 47 27 37 15.67 1.00 0.01
18 48 28 38 15.86 1.00 0.01
19 49 29 39 15.15 1.00 0.01
1 34 12 23 11.88 1.00 0.01
2 35 13 24 11.90 1.00 0.01
3 36 14 25 11.82 1.00 0.01
4 37 15 26 11.52 1.00 0.01
5 38 16 27 11.33 1.00 0.01
6 39 17 28 11.92 1.00 0.01
7 40 18 29 11.54 1.00 0.01
8 41 19 30 11.87 1.00 0.01
9 42 20 31 11.21 1.00 0.01
10 43 21 32 11.59 1.00 0.01
11 44 22 33 12.65 1.00 0.01
12 45 23 34 13.15 1.00 0.01
13 46 24 35 13.73 1.00 0.01
14 47 25 36 13.26 1.00 0.01
15 48 26 37 14.05 1.00 0.01
16 49 27 38 14.20 1.00 0.01
1 37 13 25 11.55 1.00 0.01
2 38 14 26 11.29 1.00 0.01
3 39 15 27 11.04 1.00 0.01
4 40 16 28 10.47 1.00 0.01
5 41 17 29 11.16 1.00 0.01
6 42 18 30 10.76 1.00 0.01
7 43 19 31 10.71 1.00 0.01
8 44 20 32 10.38 1.00 0.01
9 45 21 33 11.34 1.00 0.01
10 46 22 34 12.03 1.00 0.01
11 47 23 35 12.25 1.00 0.01
12 48 24 36 11.96 1.00 0.01
13 49 25 37 12.16 1.00 0.01
1 40 14 27 10.70 1.00 0.01
2 41 15 28 10.56 1.00 0.01
3 42 16 29 10.11 1.00 0.01
4 43 17 30 10.27 1.00 0.01
5 44 18 31 9.95 1.00 0.01
6 45 19 32 10.21 1.00 0.01
7 46 20 33 10.80 1.00 0.01
8 47 21 34 10.38 1.00 0.01
9 48 22 35 11.27 1.00 0.01
10 49 23 36 10.94 1.00 0.01
1 43 15 29 10.04 1.00 0.01
2 44 16 30 9.19 1.00 0.01
3 45 17 31 9.68 1.00 0.01
4 46 18 32 10.36 1.00 0.01
5 47 19 33 10.30 1.00 0.01
6 48 20 34 9.64 1.00 0.01
7 49 21 35 9.82 1.00 0.01
1 46 16 31 9.40 1.00 0.01
2 47 17 32 9.33 1.00 0.01
3 48 18 33 9.55 1.00 0.01
4 49 19 34 9.47 1.00 0.01
1 49 17 33 9.09 1.00 0.01
