52 	 # Number of sensors 
# x z 
-1.90 -1.27 
-0.95 -1.13 
0.00 -0.98 
0.94 -0.84 
1.88 -0.69 
2.81 -0.52 
3.75 -0.34 
4.78 -0.17 
5.82 0.00 
6.77 -0.01 
7.72 -0.02 
8.72 -0.06 
9.72 -0.10 
10.72 -0.14 
11.71 -0.17 
12.75 -0.36 
13.78 -0.54 
14.78 -0.51 
15.78 -0.47 
16.78 -0.41 
17.78 -0.35 
18.77 -0.27 
19.77 -0.19 
20.72 -0.27 
21.66 -0.34 
22.71 -0.34 
23.76 -0.33 
24.75 -0.48 
25.74 -0.63 
26.74 -0.67 
27.74 -0.71 
28.74 -0.63 
29.73 -0.55 
30.65 -0.81 
31.56 -1.07 
32.70 -0.91 
33.84 -0.75 
34.84 -0.83 
35.83 -0.91 
36.88 -0.93 
37.93 -0.94 
38.93 -0.98 
39.93 -1.01 
40.93 -0.93 
41.92 -0.84 
42.87 -0.89 
43.82 -0.93 
44.82 -0.99 
45.82 -1.05 
46.87 -1.04 
47.92 -1.03 
48.94 -1.26 
620 	 # Number of measurements 
# s g t err
28 33 0.00240 0.005
28 35 0.00309 0.005
28 37 0.00549 0.005
28 39 0.00618 0.005
28 41 0.00721 0.005
28 43 0.00669 0.005
28 45 0.00806 0.005
28 47 0.00944 0.005
28 49 0.00909 0.005
30 3 0.01441 0.005
30 5 0.01355 0.005
30 7 0.01355 0.005
30 9 0.01362 0.005
30 11 0.01353 0.005
30 13 0.01208 0.005
30 15 0.01108 0.005
30 17 0.01144 0.005
30 19 0.01072 0.005
30 21 0.00881 0.005
30 23 0.00618 0.005
30 25 0.00563 0.005
30 27 0.00472 0.005
30 29 0.00309 0.005
30 30 0.00000 0.005
30 31 0.00254 0.005
30 33 0.00418 0.005
30 35 0.00654 0.005
30 37 0.00845 0.005
30 39 0.00963 0.005
30 41 0.01063 0.005
30 43 0.01035 0.005
30 45 0.01126 0.005
30 47 0.01271 0.005
30 49 0.01190 0.005
32 3 0.01579 0.005
32 5 0.01544 0.005
32 7 0.01510 0.005
32 9 0.01493 0.005
32 11 0.01476 0.005
32 13 0.01441 0.005
32 15 0.01355 0.005
32 17 0.01355 0.005
32 19 0.01270 0.005
32 21 0.00995 0.005
32 23 0.00789 0.005
32 25 0.00703 0.005
32 27 0.00635 0.005
32 29 0.00360 0.005
32 31 0.00103 0.005
32 32 0.00000 0.005
32 33 0.00154 0.005
32 35 0.00498 0.005
32 37 0.00806 0.005
32 39 0.00841 0.005
32 41 0.01012 0.005
32 43 0.00858 0.005
32 45 0.00978 0.005
32 47 0.01167 0.005
32 49 0.01201 0.005
34 3 0.01613 0.005
34 5 0.01579 0.005
34 7 0.01476 0.005
34 9 0.01458 0.005
34 11 0.01476 0.005
34 13 0.01304 0.005
34 15 0.01167 0.005
34 17 0.01184 0.005
34 19 0.01184 0.005
34 21 0.00944 0.005
34 23 0.00806 0.005
34 25 0.00755 0.005
34 27 0.00635 0.005
34 29 0.00395 0.005
34 31 0.00377 0.005
34 33 0.00292 0.005
34 34 0.00000 0.005
34 35 0.00271 0.005
34 37 0.00738 0.005
34 39 0.00892 0.005
34 41 0.01073 0.005
34 43 0.01056 0.005
34 45 0.01115 0.005
34 47 0.01280 0.005
34 49 0.01333 0.005
36 3 0.01922 0.005
36 5 0.01887 0.005
36 7 0.01836 0.005
36 9 0.01836 0.005
36 11 0.01767 0.005
36 13 0.01664 0.005
36 15 0.01527 0.005
36 17 0.01596 0.005
36 19 0.01561 0.005
36 21 0.01373 0.005
36 23 0.01167 0.005
36 25 0.01098 0.005
36 27 0.00995 0.005
36 29 0.00755 0.005
36 31 0.00806 0.005
36 33 0.00618 0.005
36 35 0.00292 0.005
36 36 0.00000 0.005
36 37 0.00292 0.005
36 39 0.00909 0.005
36 41 0.01098 0.005
36 43 0.00806 0.005
36 45 0.01081 0.005
36 47 0.01373 0.005
38 3 0.02008 0.005
38 5 0.01973 0.005
38 7 0.01922 0.005
38 9 0.01939 0.005
38 11 0.01819 0.005
38 13 0.01767 0.005
38 15 0.01647 0.005
38 17 0.01699 0.005
38 19 0.01716 0.005
38 21 0.01476 0.005
38 23 0.01218 0.005
38 25 0.01184 0.005
38 27 0.01049 0.005
38 29 0.00964 0.005
38 31 0.01028 0.005
38 33 0.00885 0.005
38 35 0.00806 0.005
38 37 0.00326 0.005
38 38 0.00000 0.005
38 39 0.00064 0.005
38 41 0.00721 0.005
38 43 0.00935 0.005
38 45 0.00978 0.005
38 47 0.01064 0.005
38 49 0.01081 0.005
40 3 0.01905 0.005
40 5 0.01870 0.005
40 7 0.01836 0.005
40 9 0.01819 0.005
40 11 0.01853 0.005
40 13 0.01664 0.005
40 15 0.01647 0.005
40 17 0.01579 0.005
40 19 0.01647 0.005
40 21 0.01373 0.005
40 23 0.01115 0.005
40 25 0.01287 0.005
40 27 0.01287 0.005
40 29 0.00961 0.005
40 31 0.01132 0.005
40 33 0.00824 0.005
40 35 0.01012 0.005
40 37 0.00806 0.005
40 39 0.00257 0.005
40 40 0.00000 0.005
40 41 0.00240 0.005
40 43 0.00395 0.005
40 45 0.00652 0.005
40 47 0.00806 0.005
40 49 0.00841 0.005
42 3 0.01802 0.005
42 5 0.01819 0.005
42 7 0.01784 0.005
42 9 0.01750 0.005
42 11 0.01733 0.005
42 13 0.01579 0.005
42 15 0.01596 0.005
42 17 0.01596 0.005
42 19 0.01630 0.005
42 21 0.01424 0.005
42 23 0.01201 0.005
42 25 0.01115 0.005
42 27 0.00978 0.005
42 29 0.00895 0.005
42 31 0.00874 0.005
42 33 0.00846 0.005
42 35 0.00909 0.005
42 37 0.00806 0.005
42 39 0.00515 0.005
42 41 0.00309 0.005
42 42 0.00000 0.005
42 43 0.00377 0.005
42 45 0.00446 0.005
42 47 0.00789 0.005
42 49 0.00909 0.005
44 3 0.01887 0.005
44 5 0.01836 0.005
44 7 0.01836 0.005
44 9 0.01836 0.005
44 11 0.01784 0.005
44 13 0.01750 0.005
44 15 0.01613 0.005
44 17 0.01630 0.005
44 19 0.01613 0.005
44 21 0.01510 0.005
44 23 0.01201 0.005
44 25 0.01098 0.005
44 27 0.01012 0.005
44 31 0.00909 0.005
44 33 0.00806 0.005
44 35 0.00892 0.005
44 37 0.00909 0.005
44 39 0.00635 0.005
44 41 0.00326 0.005
44 43 0.00172 0.005
44 44 0.00000 0.005
44 45 0.00189 0.005
44 47 0.00480 0.005
44 49 0.00978 0.005
46 3 0.01819 0.005
46 5 0.01784 0.005
46 7 0.01750 0.005
46 9 0.01733 0.005
46 11 0.01733 0.005
46 13 0.01716 0.005
46 15 0.01579 0.005
46 17 0.01664 0.005
46 19 0.01664 0.005
46 21 0.01510 0.005
46 23 0.01235 0.005
46 25 0.01201 0.005
46 27 0.01098 0.005
46 29 0.01132 0.005
46 31 0.00978 0.005
46 33 0.00875 0.005
46 35 0.00961 0.005
46 37 0.00909 0.005
46 39 0.00686 0.005
46 41 0.00708 0.005
46 43 0.00680 0.005
46 45 0.00206 0.005
46 46 0.00000 0.005
46 47 0.00257 0.005
46 49 0.00837 0.005
48 3 0.02179 0.005
48 5 0.02128 0.005
48 7 0.02128 0.005
48 9 0.02076 0.005
48 11 0.02059 0.005
48 13 0.01956 0.005
48 15 0.01853 0.005
48 17 0.01905 0.005
48 19 0.02008 0.005
48 21 0.01819 0.005
48 23 0.01596 0.005
48 25 0.01561 0.005
48 27 0.01458 0.005
48 29 0.01270 0.005
48 31 0.01407 0.005
48 33 0.01184 0.005
48 37 0.01287 0.005
48 39 0.01064 0.005
48 41 0.01064 0.005
48 43 0.00995 0.005
48 45 0.00824 0.005
48 47 0.00275 0.005
48 48 0.00000 0.005
48 49 0.00292 0.005
51 3 0.01939 0.005
51 5 0.01905 0.005
